secs,&nbsp;4 20:22+497&gt;20
12334,0.19
12334.5,0.16
12335,0.18
12335.5,0.15
12336,0.13
12336.5,0.10
12337,0.10
12337.5,0.11
12338,0.11
12338.5,0.13
12339,0.13
12339.5,0.12
12340,0.12
12340.5,0.11
12341,0.12
12341.5,0.13
12342,0.12
12342.5,0.11
12343,0.10
12343.5,0.10
12344,0.10
12344.5,0.05
12345,0.07
12345.5,0.05
12346,0.03
12346.5,0.02
12347,0.02
12347.5,-0.00
12349.5,-0.00
12350,0.03
12350.5,0.00
12351.5,-0.00
12352,-0.00
12353,0.01
12353.5,0.00
12354,-0.00
12354.5,0.03
12355,0.03
12355.5,0.02
12356,-0.00
12356.5,0.02
12357,0.07
12357.5,0.06
12358,0.08
12358.5,0.08
12359,0.08
12359.5,0.08
12360,0.10
12360.5,0.13
12361,0.13
12361.5,0.14
12362,0.14
12362.5,0.17
12363,0.18
12363.5,0.17
12364,0.19
12364.5,0.16
12365,0.15
12365.5,0.18
12366,0.19
12366.5,0.19
12367,0.21
12367.5,0.19
12368,0.19
12368.5,0.17
12369,0.17
12369.5,0.14
12370,0.17
12370.5,0.14
12371,0.14
12371.5,0.14
12372,0.12
12372.5,0.14
12373,0.12
12373.5,0.12
12374,0.11
12374.5,0.09
12375,0.12
12375.5,0.14
12376,0.13
12376.5,0.12
12377,0.10
12377.5,0.11
12378,0.11
12378.5,0.08
12379,0.06
12379.5,0.03
12380,0.02
12380.5,0.02
12390,0.01
12390.5,0.01
12391,0.03
12391.5,0.04
12392,0.05
12392.5,0.06
12393,0.04
12393.5,0.05
12394,0.04
12394.5,0.10
12395,0.06
12395.5,0.08
12396,0.10
12396.5,0.11
12397,0.10
12397.5,0.11
12398,0.12
12398.5,0.13
12399,0.14
12399.5,0.12
12400,0.14
12400.5,0.16
12401,0.17
12401.5,0.18
12402,0.17
12402.5,0.17
12403,0.21
12403.5,0.20
12404,0.19
12404.5,0.20
12405,0.17
12405.5,0.18
12406,0.18
12406.5,0.19
12407,0.19
12407.5,0.22
12408,0.19
12408.5,0.19
12409,0.20
12409.5,0.20
12410,0.18
12410.5,0.17
12411,0.18
12411.5,0.21
12412,0.21
12412.5,0.20
12413,0.19
12413.5,0.21
12414,0.19
12414.5,0.18
12415,0.19
12415.5,0.19
12416,0.19
12416.5,0.17
12417,0.14
12417.5,0.18
12418,0.16
12418.5,0.17
12419,0.15
12419.5,0.14
12420,0.12
12420.5,0.12
12421,0.10
12421.5,0.08
12422,0.09
12422.5,0.15
12423,0.14
12423.5,0.11
12424,0.11
12424.5,0.10
12425,0.14
12425.5,0.13
12426,0.14
12426.5,0.16
12427,0.17
12427.5,0.20
12428,0.21
12428.5,0.19
12429,0.17
12429.5,0.18
12430,0.20
12430.5,0.21
12431,0.23
12431.5,0.22
12432,0.22
12432.5,0.25
12433,0.24
12433.5,0.24
12434,0.22
12434.5,0.26
12435,0.27
12435.5,0.26
12436,0.29
12436.5,0.26
12437,0.29
12437.5,0.30
12438,0.31
12438.5,0.30
12439,0.28
12439.5,0.26
12440,0.28
12440.5,0.29
12441,0.27
12441.5,0.27
12442,0.26
12442.5,0.24
12443,0.25
12443.5,0.24
12444,0.25
12444.5,0.27
12445,0.26
12445.5,0.26
12446,0.25
12446.5,0.25
12447,0.26
12447.5,0.29
12448,0.31
12448.5,0.31
12449,0.28
12449.5,0.30
12450,0.32
12450.5,0.32
12451,0.30
12451.5,0.27
12452,0.30
12452.5,0.31
12453,0.34
12453.5,0.37
12454,0.39
12454.5,0.36
12455,0.35
12455.5,0.35
12456,0.35
12456.5,0.35
12457,0.37
12457.5,0.36
12458,0.36
12458.5,0.33
12459,0.31
12459.5,0.30
12460,0.28
12460.5,0.28
12461,0.29
12461.5,0.30
12462,0.31
12462.5,0.30
12463,0.32
12463.5,0.33
12464,0.33
12464.5,0.34
12465,0.34
12465.5,0.37
12466,0.36
12466.5,0.35
12467,0.35
12467.5,0.39
12468,0.42
12468.5,0.44
12469,0.46
12469.5,0.47
12470,0.56
12470.5,0.52
12471,0.48
12471.5,0.46
12472,0.45
12472.5,0.47
12473,0.44
12473.5,0.44
12474,0.48
12474.5,0.56
12475,0.53
12475.5,0.52
12476,0.48
12476.5,0.42
12477,0.40
12477.5,0.41
12478,0.38
12478.5,0.38
12479,0.38
12479.5,0.39
12480,0.38
12480.5,0.38
12481,0.37
12481.5,0.34
12482,0.33
12482.5,0.37
12483,0.36
12483.5,0.37
12484,0.35
12484.5,0.33
12485,0.33
12485.5,0.32
12486,0.28
12486.5,0.28
12487,0.27
12487.5,0.30
12488,0.28
12488.5,0.27
12489,0.31
12489.5,0.26
12490,0.27
12490.5,0.29
12491,0.26
12491.5,0.27
12492,0.28
12492.5,0.24
12493,0.26
12493.5,0.25
12494,0.25
12494.5,0.22
12495,0.21
12495.5,0.23
12496,0.21
12496.5,0.21
12497,0.25
12497.5,0.23
12498,0.24
12498.5,0.26
12499,0.25
12499.5,0.27
12500,0.27
12500.5,0.28
12501,0.29
12501.5,0.31
12502,0.30
12502.5,0.30
12503,0.32
12503.5,0.32
12504,0.31
12504.5,0.32
12505,0.31
12505.5,0.31
12506,0.36
12506.5,0.36
12507,0.36
12507.5,0.37
12508,0.38
12508.5,0.40
12509,0.39
12509.5,0.39
12510,0.40
12510.5,0.41
12511,0.44
12511.5,0.42
12512,0.43
12512.5,0.45
12513,0.45
12513.5,0.46
12514,0.45
12514.5,0.44
12515,0.41
12515.5,0.42
12516,0.41
12516.5,0.41
12517,0.38
12517.5,0.39
12518,0.37
12518.5,0.39
12519,0.40
12519.5,0.38
12520,0.37
12520.5,0.40
12521,0.41
12521.5,0.38
12522,0.39
12522.5,0.36
12523,0.34
12523.5,0.35
12524,0.36
12524.5,0.37
12525,0.35
12525.5,0.35
12526,0.37
12526.5,0.37
12527,0.37
12527.5,0.35
12528,0.34
12528.5,0.38
12529,0.37
12529.5,0.34
12530,0.34
12530.5,0.35
12531,0.35
12531.5,0.36
12532,0.39
12532.5,0.36
12533,0.38
12533.5,0.42
12534,0.41
12534.5,0.38
12535,0.39
12535.5,0.40
12536,0.42
12536.5,0.46
12537,0.47
12537.5,0.45
12538,0.44
12538.5,0.43
12539,0.46
12539.5,0.51
12540,0.50
12540.5,0.48
12541,0.46
12541.5,0.49
12542,0.50
12542.5,0.50
12543,0.54
12543.5,0.61
12544,0.62
12544.5,0.63
12545,0.62
12545.5,0.62
12546,0.63
12546.5,0.62
12547,0.64
12547.5,0.66
12548,0.68
12548.5,0.67
12549,0.69
12549.5,0.69
12550,0.68
12550.5,0.69
12551,0.67
12551.5,0.68
12552,0.73
12552.5,0.72
12553,0.73
12553.5,0.72
12554,0.74
12554.5,0.73
12555,0.74
12555.5,0.71
12556,0.72
12556.5,0.73
12557,0.68
12557.5,0.69
12558,0.70
12558.5,0.73
12559,0.76
12559.5,0.76
12560,0.76
12560.5,0.76
12561,0.77
12561.5,0.77
12562,0.75
12562.5,0.72
12563,0.73
12563.5,0.69
12564,0.72
12564.5,0.73
12565,0.71
12565.5,0.72
12566,0.72
12566.5,0.71
12567,0.71
12567.5,0.72
12568,0.70
12568.5,0.71
12569,0.70
12569.5,0.70
12570,0.70
12570.5,0.70
12571,0.70
12571.5,0.72
12572,0.71
12572.5,0.67
12573,0.67
12573.5,0.64
12574,0.60
12574.5,0.57
12575,0.57
12575.5,0.58
12576,0.56
12576.5,0.59
12577,0.57
12577.5,0.60
12578,0.59
12578.5,0.61
12579,0.61
12579.5,0.59
12580,0.57
12580.5,0.59
12581,0.60
12581.5,0.61
12582,0.62
12582.5,0.63
12583,0.62
12583.5,0.58
12584,0.58
12584.5,0.59
12585,0.61
12585.5,0.60
12586,0.60
12586.5,0.60
12587,0.64
12587.5,0.64
12588,0.64
12588.5,0.64
12589,0.64
12589.5,0.70
12590,0.69
12590.5,0.70
12591,0.68
12591.5,0.71
12592,0.70
12592.5,0.73
12593,0.74
12593.5,0.72
12594,0.70
12594.5,0.72
12595,0.70
12595.5,0.70
12596,0.72
12596.5,0.75
12597,0.76
12597.5,0.75
12598,0.73
12598.5,0.72
12599,0.74
12599.5,0.75
12600,0.75
12600.5,0.75
12601,0.75
12601.5,0.75
12602,0.74
12602.5,0.75
12603,0.70
12603.5,0.71
12604,0.68
12604.5,0.65
12605,0.66
12605.5,0.67
12606,0.68
12606.5,0.68
12607,0.67
12607.5,0.65
12608,0.69
12608.5,0.70
12609,0.70
12609.5,0.71
12610,0.75
12610.5,0.78
12611,0.75
12611.5,0.75
12612,0.74
12612.5,0.76
12613,0.74
12613.5,0.75
12614,0.77
12614.5,0.76
12615,0.77
12615.5,0.77
12616,0.81
12616.5,0.81
12617,0.80
12617.5,0.81
12618,0.77
12618.5,0.84
12619,0.84
12619.5,0.90
12620,0.91
12620.5,0.93
12621,0.95
12621.5,0.93
12622,0.95
12622.5,1.02
12623,1.03
12623.5,1.01
12624,0.99
12624.5,0.98
12625,0.96
12625.5,0.97
12626,0.96
12626.5,0.97
12627,0.98
12627.5,1.07
12628,0.99
12628.5,0.95
12629,0.91
12629.5,0.87
12630,0.86
12630.5,0.87
12631,0.87
12631.5,0.86
12632,0.84
12632.5,0.86
12633,0.87
12633.5,0.89
12634,0.90
12634.5,0.92
12635,0.93
12635.5,0.93
12636,0.94
12636.5,0.91
12637,0.94
12637.5,0.94
12638,0.93
12638.5,0.92
12639,0.92
12639.5,0.94
12640,0.92
12640.5,0.89
12641,0.88
12641.5,0.86
12642,0.87
12642.5,0.85
12643,0.84
12643.5,0.83
12644,0.83
12644.5,0.85
12645,0.80
12645.5,0.78
12646,0.78
12646.5,0.81
12647,0.80
12647.5,0.80
12648,0.78
12648.5,0.77
12649,0.78
12649.5,0.79
12650,0.80
12650.5,0.80
12651,0.80
12651.5,0.78
12652,0.78
12652.5,0.76
12653,0.77
12653.5,0.77
12654,0.75
12654.5,0.75
12655,0.74
12655.5,0.76
12656,0.77
12656.5,0.80
12657,0.76
12657.5,0.75
12658,0.71
12658.5,0.75
12659,0.76
12659.5,0.75
12660,0.76
12660.5,0.75
12661,0.73
12661.5,0.74
12662,0.75
12662.5,0.77
12663,0.77
12663.5,0.77
12664,0.75
12664.5,0.79
12665,0.85
12665.5,0.87
12666,0.88
12666.5,0.88
12667,0.92
12667.5,0.95
12668,0.92
12668.5,0.94
12669,0.91
12669.5,0.92
12670,0.91
12670.5,0.93
12671,0.94
12671.5,0.94
12672,0.94
12672.5,0.97
12673,0.95
12673.5,0.96
12674,0.98
12674.5,0.99
12675,0.98
12675.5,1.00
12676,0.99
12676.5,1.01
12677,0.96
12677.5,0.95
12678,0.96
12678.5,0.97
12679,0.98
12679.5,0.96
12680,0.96
12680.5,0.96
12681,0.97
12681.5,1.00
12682,0.98
12682.5,0.96
12683,0.95
12683.5,0.94
12684,0.90
12684.5,0.89
12685,0.90
12685.5,0.90
12686,0.92
12686.5,0.92
12687,0.89
12687.5,0.88
12688,0.88
12688.5,0.89
12689,0.84
12689.5,0.81
12690,0.81
12690.5,0.84
12691,0.83
12691.5,0.82
12692,0.83
12692.5,0.83
12693,0.82
12693.5,0.80
12694,0.81
12694.5,0.81
12695,0.81
12695.5,0.82
12696,0.85
12696.5,0.85
12697,0.83
12697.5,0.80
12698,0.80
12698.5,0.78
12699,0.81
12699.5,0.83
12700,0.83
12700.5,0.82
12701,0.83
12701.5,0.85
12702,0.86
12702.5,0.84
12703,0.85
12703.5,0.89
12704,0.87
12704.5,0.88
12705,0.87
12705.5,0.90
12706,0.91
12706.5,0.90
12707,0.93
12707.5,0.92
12708,0.91
12708.5,0.91
12709,0.89
12709.5,0.91
12710,0.95
12710.5,0.98
12711,0.97
12711.5,0.98
12712,0.96
12712.5,0.96
12713,0.90
12713.5,0.88
12714,0.87
12714.5,0.88
12715,0.92
12715.5,0.94
12716,0.90
12716.5,0.88
12717,0.86
12717.5,0.89
12718,0.87
12718.5,0.89
12719,0.89
12719.5,0.90
12720,0.91
12720.5,0.88
12721,0.90
12721.5,0.87
12722,0.87
12722.5,0.84
12723,0.83
12723.5,0.85
12724,0.86
12724.5,0.88
12725,0.86
12725.5,0.84
12726,0.81
12726.5,0.78
12727,0.80
12727.5,0.83
12728,0.82
12728.5,0.83
12729,0.83
12729.5,0.83
12730,0.83
12730.5,0.83
12731,0.83
12731.5,0.82
12732,0.80
12732.5,0.77
12733,0.78
12733.5,0.78
12734,0.77
12734.5,0.78
12735,0.83
12735.5,0.82
12736,0.79
12736.5,0.78
12737,0.74
12737.5,0.76
12738,0.78
12738.5,0.79
12739,0.79
12739.5,0.77
12740,0.75
12740.5,0.78
12741,0.80
12741.5,0.79
12742,0.82
12742.5,0.84
12743,0.81
12743.5,0.81
12744,0.77
12744.5,0.74
12745,0.75
12745.5,0.76
12746,0.78
12746.5,0.79
12747,0.80
12747.5,0.78
12748,0.75
12748.5,0.77
12749,0.81
12749.5,0.80
12750,0.80
12750.5,0.75
12751,0.75
12751.5,0.75
12752,0.74
12752.5,0.73
12753,0.72
12753.5,0.74
12754,0.73
12754.5,0.72
12755,0.73
12755.5,0.72
12756,0.72
12756.5,0.72
12757,0.73
12757.5,0.66
12758,0.63
12758.5,0.63
12759,0.62
12759.5,0.60
12760,0.60
12760.5,0.57
12761,0.58
12761.5,0.58
12762,0.57
12762.5,0.57
12763,0.58
12763.5,0.59
12764,0.59
12764.5,0.56
12765,0.56
12765.5,0.54
12766,0.54
12766.5,0.55
12767,0.56
12767.5,0.60
12768,0.60
12768.5,0.60
12769,0.60
12769.5,0.60
12770,0.62
12770.5,0.60
12771,0.62
12771.5,0.62
12772,0.75
12772.5,0.75
12773,0.75
12773.5,0.77
12774,0.76
12774.5,0.76
12775,0.80
12775.5,0.81
12776,0.87
12776.5,0.90
12777,0.85
12777.5,0.83
12778,0.80
12778.5,0.78
12779,0.76
12779.5,0.80
12780,0.78
12780.5,0.86
12781,0.86
12781.5,0.80
12782,0.75
12782.5,0.75
12783,0.75
12783.5,0.73
12784,0.71
12784.5,0.73
12785,0.71
12785.5,0.71
12786,0.72
12786.5,0.70
12787,0.70
12787.5,0.71
12788,0.72
12788.5,0.72
